,date,value
262,2003-04-01,168168
263,2003-03-01,188854
264,2003-02-01,169363
265,2003-01-01,160196
266,2002-12-01,167098
267,2002-11-01,164310
268,2002-10-01,174042
269,2002-09-01,174195
270,2002-08-01,176987
271,2002-07-01,151584
272,2002-06-01,173578
273,2002-05-01,176314
274,2002-04-01,170163
275,2002-03-01,183541
276,2002-02-01,167694
277,2002-01-01,152537
278,2001-12-01,170130
279,2001-11-01,160265
280,2001-10-01,175302
281,2001-09-01,169765
282,2001-08-01,171491
283,2001-07-01,144702
284,2001-06-01,188450
285,2001-05-01,180620
286,2001-04-01,166962
287,2001-03-01,201321
288,2001-02-01,176646
289,2001-01-01,167108
290,2000-12-01,192978
291,2000-11-01,185475
292,2000-10-01,187704
293,2000-09-01,210685
294,2000-08-01,187688
295,2000-07-01,159903
296,2000-06-01,237143
297,2000-05-01,190188
298,2000-04-01,186872
299,2000-03-01,212974
300,2000-02-01,189153
301,2000-01-01,185813
302,1999-12-01,202677
303,1999-11-01,183986
304,1999-10-01,193889
305,1999-09-01,202427
306,1999-08-01,186590
307,1999-07-01,159656
308,1999-06-01,198372
309,1999-05-01,182326
310,1999-04-01,180224
311,1999-03-01,204755
312,1999-02-01,185255
313,1999-01-01,171934
314,1998-12-01,185472
315,1998-11-01,177925
316,1998-10-01,181357
317,1998-09-01,193961
318,1998-08-01,173662
319,1998-07-01,145785
320,1998-06-01,187991
321,1998-05-01,175154
322,1998-04-01,178239
323,1998-03-01,193649
324,1998-02-01,182332
325,1998-01-01,164391
326,1997-12-01,179906
327,1997-11-01,185230
328,1997-10-01,183393
329,1997-09-01,190959
330,1997-08-01,170465
331,1997-07-01,150782
332,1997-06-01,187205
333,1997-05-01,165694
334,1997-04-01,170687
335,1997-03-01,180530
336,1997-02-01,172311
337,1997-01-01,155358
338,1996-12-01,166228
339,1996-11-01,168650
340,1996-10-01,169459
341,1996-09-01,174797
342,1996-08-01,153637
343,1996-07-01,138374
344,1996-06-01,172897
345,1996-05-01,163769
346,1996-04-01,155093
347,1996-03-01,176264
348,1996-02-01,159185
349,1996-01-01,150440
350,1995-12-01,163769
351,1995-11-01,156881
352,1995-10-01,158469
353,1995-09-01,168324
354,1995-08-01,151465
355,1995-07-01,123259
356,1995-06-01,161688
357,1995-05-01,151770
358,1995-04-01,146225
359,1995-03-01,167745
360,1995-02-01,156606
361,1995-01-01,143440
362,1994-12-01,154895
363,1994-11-01,150202
364,1994-10-01,151572
365,1994-09-01,153625
366,1994-08-01,142852
367,1994-07-01,119501
368,1994-06-01,155070
369,1994-05-01,140366
370,1994-04-01,137847
371,1994-03-01,149256
372,1994-02-01,139057
373,1994-01-01,131392
374,1993-12-01,138273
375,1993-11-01,131460
376,1993-10-01,135483
377,1993-09-01,134114
378,1993-08-01,124150
379,1993-07-01,107698
380,1993-06-01,138459
381,1993-05-01,123210
382,1993-04-01,126589
383,1993-03-01,138668
384,1993-02-01,130164
385,1993-01-01,115794
386,1992-12-01,131937
387,1992-11-01,121759
388,1992-10-01,131334
389,1992-09-01,126277
390,1992-08-01,113623
391,1992-07-01,103025
392,1992-06-01,131268
393,1992-05-01,122274
394,1992-04-01,123268
395,1992-03-01,129309
396,1992-02-01,118429
