,date,value
232,2005-11-01,136158
233,2005-10-01,135600
234,2005-09-01,134869
235,2005-08-01,134244
236,2005-07-01,133994
237,2005-06-01,135053
238,2005-05-01,134382
239,2005-04-01,133570
240,2005-03-01,132358
241,2005-02-01,131517
242,2005-01-01,130694
243,2004-12-01,133398
244,2004-11-01,133631
245,2004-10-01,133380
246,2004-09-01,132398
247,2004-08-01,131684
248,2004-07-01,131665
249,2004-06-01,132824
250,2004-05-01,132381
251,2004-04-01,131478
252,2004-03-01,130363
253,2004-02-01,129320
254,2004-01-01,128709
255,2003-12-01,131367
256,2003-11-01,131548
257,2003-10-01,131383
258,2003-09-01,130589
259,2003-08-01,129936
260,2003-07-01,129885
261,2003-06-01,131222
262,2003-05-01,130892
263,2003-04-01,130132
264,2003-03-01,129474
265,2003-02-01,128978
266,2003-01-01,128561
267,2002-12-01,131241
268,2002-11-01,131651
269,2002-10-01,131531
270,2002-09-01,130859
271,2002-08-01,130341
272,2002-07-01,130255
273,2002-06-01,131694
274,2002-05-01,131314
275,2002-04-01,130543
276,2002-03-01,129955
277,2002-02-01,129347
278,2002-01-01,128877
279,2001-12-01,131758
280,2001-11-01,132141
281,2001-10-01,132328
282,2001-09-01,132126
283,2001-08-01,131859
284,2001-07-01,131930
285,2001-06-01,133421
286,2001-05-01,133042
287,2001-04-01,132334
288,2001-03-01,131929
289,2001-02-01,131334
290,2001-01-01,130667
291,2000-12-01,133542
292,2000-11-01,133601
293,2000-10-01,133236
294,2000-09-01,132678
295,2000-08-01,132007
296,2000-07-01,131997
297,2000-06-01,133218
298,2000-05-01,132705
299,2000-04-01,131749
300,2000-03-01,130752
301,2000-02-01,129655
302,2000-01-01,128993
303,1999-12-01,131633
304,1999-11-01,131496
305,1999-10-01,131037
306,1999-09-01,130102
307,1999-08-01,129325
308,1999-07-01,129268
309,1999-06-01,130137
310,1999-05-01,129411
311,1999-04-01,128543
312,1999-03-01,127399
313,1999-02-01,126684
314,1999-01-01,125700
315,1998-12-01,128448
316,1998-11-01,128277
317,1998-10-01,127877
318,1998-09-01,127098
319,1998-08-01,126287
320,1998-07-01,126047
321,1998-06-01,127118
322,1998-05-01,126455
323,1998-04-01,125372
324,1998-03-01,124332
325,1998-02-01,123609
326,1998-01-01,122832
327,1997-12-01,125383
328,1997-11-01,125245
329,1997-10-01,124851
330,1997-09-01,123948
331,1997-08-01,122944
332,1997-07-01,122876
333,1997-06-01,123861
334,1997-05-01,123211
335,1997-04-01,122132
336,1997-03-01,121155
337,1997-02-01,120274
338,1997-01-01,119412
339,1996-12-01,121955
340,1996-11-01,121976
341,1996-10-01,121516
342,1996-09-01,120795
343,1996-08-01,120051
344,1996-07-01,119757
345,1996-06-01,120795
346,1996-05-01,120132
347,1996-04-01,119005
348,1996-03-01,118168
349,1996-02-01,117364
350,1996-01-01,116423
351,1995-12-01,119122
352,1995-11-01,119125
353,1995-10-01,118888
354,1995-09-01,118286
355,1995-08-01,117370
356,1995-07-01,117106
357,1995-06-01,118340
358,1995-05-01,117625
359,1995-04-01,116902
360,1995-03-01,116071
361,1995-02-01,115315
362,1995-01-01,114655
363,1994-12-01,116963
364,1994-11-01,116926
365,1994-10-01,116319
366,1994-09-01,115693
367,1994-08-01,114634
368,1994-07-01,114325
369,1994-06-01,115271
370,1994-05-01,114479
371,1994-04-01,113467
372,1994-03-01,112389
373,1994-02-01,111414
374,1994-01-01,110833
375,1993-12-01,113085
376,1993-11-01,112935
377,1993-10-01,112590
378,1993-09-01,111926
379,1993-08-01,110935
380,1993-07-01,110825
381,1993-06-01,111692
382,1993-05-01,111103
383,1993-04-01,110140
384,1993-03-01,109136
385,1993-02-01,108702
386,1993-01-01,108098
387,1992-12-01,110265
388,1992-11-01,110275
389,1992-10-01,110036
390,1992-09-01,109449
391,1992-08-01,108664
392,1992-07-01,108608
393,1992-06-01,109625
394,1992-05-01,109137
395,1992-04-01,108331
396,1992-03-01,107495
397,1992-02-01,106979
398,1992-01-01,106723
399,1991-12-01,109110
400,1991-11-01,109225
401,1991-10-01,109210
402,1991-09-01,108840
403,1991-08-01,108124
404,1991-07-01,108033
405,1991-06-01,109234
406,1991-05-01,108752
407,1991-04-01,108071
408,1991-03-01,107681
409,1991-02-01,107393
410,1991-01-01,107425
411,1990-12-01,109974
412,1990-11-01,110205
413,1990-10-01,110240
414,1990-09-01,110044
415,1990-08-01,109449
416,1990-07-01,109567
417,1990-06-01,110838
418,1990-05-01,110270
419,1990-04-01,109366
420,1990-03-01,108724
421,1990-02-01,108069
422,1990-01-01,107573
423,1989-12-01,109666
424,1989-11-01,109657
425,1989-10-01,109217
426,1989-09-01,108724
427,1989-08-01,107927
428,1989-07-01,107848
429,1989-06-01,108937
430,1989-05-01,108294
431,1989-04-01,107611
432,1989-03-01,106813
433,1989-02-01,106170
434,1989-01-01,105743
435,1988-12-01,107722
436,1988-11-01,107500
437,1988-10-01,107013
438,1988-09-01,106341
439,1988-08-01,105477
440,1988-07-01,105315
441,1988-06-01,106208
442,1988-05-01,105347
443,1988-04-01,104587
444,1988-03-01,103693
445,1988-02-01,102951
446,1988-01-01,102380
447,1987-12-01,104472
448,1987-11-01,104232
449,1987-10-01,103893
450,1987-09-01,102986
451,1987-08-01,102219
452,1987-07-01,101990
453,1987-06-01,102742
454,1987-05-01,102135
455,1987-04-01,101369
456,1987-03-01,100367
457,1987-02-01,99657
458,1987-01-01,99334
459,1986-12-01,101300
460,1986-11-01,101141
461,1986-10-01,100886
462,1986-09-01,100317
463,1986-08-01,99393
464,1986-07-01,99219
465,1986-06-01,99973
466,1986-05-01,99667
467,1986-04-01,98973
468,1986-03-01,98138
469,1986-02-01,97590
470,1986-01-01,97397
471,1985-12-01,99356
472,1985-11-01,99240
473,1985-10-01,98987
474,1985-09-01,98476
475,1985-08-01,97667
476,1985-07-01,97418
477,1985-06-01,98279
478,1985-05-01,97726
479,1985-04-01,96875
480,1985-03-01,96055
481,1985-02-01,95259
482,1985-01-01,95049
483,1984-12-01,96793
484,1984-11-01,96738
485,1984-10-01,96362
486,1984-09-01,95808
487,1984-08-01,94888
488,1984-07-01,94607
489,1984-06-01,95305
490,1984-05-01,94489
491,1984-04-01,93614
492,1984-03-01,92659
493,1984-02-01,91940
494,1984-01-01,91374
495,1983-12-01,92863
496,1983-11-01,92592
497,1983-10-01,92233
498,1983-09-01,91719
499,1983-08-01,89998
500,1983-07-01,90271
501,1983-06-01,90844
502,1983-05-01,90019
503,1983-04-01,89187
504,1983-03-01,88344
505,1983-02-01,87741
506,1983-01-01,87729
507,1982-12-01,89396
508,1982-11-01,89495
509,1982-10-01,89598
510,1982-09-01,89628
511,1982-08-01,89212
512,1982-07-01,89338
513,1982-06-01,90669
514,1982-05-01,90478
515,1982-04-01,89993
516,1982-03-01,89710
517,1982-02-01,89417
518,1982-01-01,89328
519,1981-12-01,91555
520,1981-11-01,91888
521,1981-10-01,92054
522,1981-09-01,91876
523,1981-08-01,91378
524,1981-07-01,91371
525,1981-06-01,92296
526,1981-05-01,91647
527,1981-04-01,91157
528,1981-03-01,90520
529,1981-02-01,89985
530,1981-01-01,89837
531,1980-12-01,91661
532,1980-11-01,91475
533,1980-10-01,91128
534,1980-09-01,90530
535,1980-08-01,89865
536,1980-07-01,89582
537,1980-06-01,90922
538,1980-05-01,90763
539,1980-04-01,90747
540,1980-03-01,90324
541,1980-02-01,89764
542,1980-01-01,89631
543,1979-12-01,91415
544,1979-11-01,91287
545,1979-10-01,91089
546,1979-09-01,90616
547,1979-08-01,90072
548,1979-07-01,89976
549,1979-06-01,90971
550,1979-05-01,90126
551,1979-04-01,89313
552,1979-03-01,88792
553,1979-02-01,87889
554,1979-01-01,87650
555,1978-12-01,89408
556,1978-11-01,89099
557,1978-10-01,88549
558,1978-09-01,87932
559,1978-08-01,87305
560,1978-07-01,87002
561,1978-06-01,87830
562,1978-05-01,86842
563,1978-04-01,86037
564,1978-03-01,84732
565,1978-02-01,83738
566,1978-01-01,83442
567,1977-12-01,85105
568,1977-11-01,84868
569,1977-10-01,84423
570,1977-09-01,83922
571,1977-08-01,82971
572,1977-07-01,82677
573,1977-06-01,83338
574,1977-05-01,82376
575,1977-04-01,81539
576,1977-03-01,80604
577,1977-02-01,79747
578,1977-01-01,79540
579,1976-12-01,81129
580,1976-11-01,80953
581,1976-10-01,80593
582,1976-09-01,80362
583,1976-08-01,79659
584,1976-07-01,79393
585,1976-06-01,80164
586,1976-05-01,79534
587,1976-04-01,79042
588,1976-03-01,78214
589,1976-02-01,77605
590,1976-01-01,77376
591,1975-12-01,78726
592,1975-11-01,78437
593,1975-10-01,78283
594,1975-09-01,77726
595,1975-08-01,77120
596,1975-07-01,76592
597,1975-06-01,77270
598,1975-05-01,76774
599,1975-04-01,76142
600,1975-03-01,75808
601,1975-02-01,75764
602,1975-01-01,76189
603,1974-12-01,78419
604,1974-11-01,79060
605,1974-10-01,79381
606,1974-09-01,79084
607,1974-08-01,78584
608,1974-07-01,78438
609,1974-06-01,79336
610,1974-05-01,78637
611,1974-04-01,78035
612,1974-03-01,77485
613,1974-02-01,77163
614,1974-01-01,77045
615,1973-12-01,78839
616,1973-11-01,78707
617,1973-10-01,78306
618,1973-09-01,77682
619,1973-08-01,77095
620,1973-07-01,76691
621,1973-06-01,77630
622,1973-05-01,76712
623,1973-04-01,76132
624,1973-03-01,75544
625,1973-02-01,74989
626,1973-01-01,74613
627,1972-12-01,76078
628,1972-11-01,75704
629,1972-10-01,75290
630,1972-09-01,74612
631,1972-08-01,74054
632,1972-07-01,73502
633,1972-06-01,74507
634,1972-05-01,73525
635,1972-04-01,72894
636,1972-03-01,72261
637,1972-02-01,71668
638,1972-01-01,71481
639,1971-12-01,72880
640,1971-11-01,72479
641,1971-10-01,72180
642,1971-09-01,71931
643,1971-08-01,71298
644,1971-07-01,71194
645,1971-06-01,72006
646,1971-05-01,71287
647,1971-04-01,70795
648,1971-03-01,70209
649,1971-02-01,69844
650,1971-01-01,69922
651,1970-12-01,71564
652,1970-11-01,70983
653,1970-10-01,71022
654,1970-09-01,71257
655,1970-08-01,70900
656,1970-07-01,71000
657,1970-06-01,71766
658,1970-05-01,71123
659,1970-04-01,71105
660,1970-03-01,70786
661,1970-02-01,70332
662,1970-01-01,70229
663,1969-12-01,72041
664,1969-11-01,71630
665,1969-10-01,71601
666,1969-09-01,71235
667,1969-08-01,71024
668,1969-07-01,70746
669,1969-06-01,71363
670,1969-05-01,70285
671,1969-04-01,69799
672,1969-03-01,69208
673,1969-02-01,68712
674,1969-01-01,68494
675,1968-12-01,70085
676,1968-11-01,69509
677,1968-10-01,69187
678,1968-09-01,68826
679,1968-08-01,68397
680,1968-07-01,68199
681,1968-06-01,68617
682,1968-05-01,67581
683,1968-04-01,67260
684,1968-03-01,66553
685,1968-02-01,66203
686,1968-01-01,65853
687,1967-12-01,67758
688,1967-11-01,67210
689,1967-10-01,66684
690,1967-09-01,66549
691,1967-08-01,66262
692,1967-07-01,66015
693,1967-06-01,66451
694,1967-05-01,65540
695,1967-04-01,65144
696,1967-03-01,64741
697,1967-02-01,64377
698,1967-01-01,64439
699,1966-12-01,66051
700,1966-11-01,65508
701,1966-10-01,65337
702,1966-09-01,65082
703,1966-08-01,64678
704,1966-07-01,64470
705,1966-06-01,64784
706,1966-05-01,63645
707,1966-04-01,63096
708,1966-03-01,62354
709,1966-02-01,61707
710,1966-01-01,61529
711,1965-12-01,63141
712,1965-11-01,62465
713,1965-10-01,62245
714,1965-09-01,62006
715,1965-08-01,61455
716,1965-07-01,61167
717,1965-06-01,61319
718,1965-05-01,60442
719,1965-04-01,59891
720,1965-03-01,59119
721,1965-02-01,58676
722,1965-01-01,58561
723,1964-12-01,60198
724,1964-11-01,59677
725,1964-10-01,59380
726,1964-09-01,59497
727,1964-08-01,58900
728,1964-07-01,58632
729,1964-06-01,58805
730,1964-05-01,58048
731,1964-04-01,57528
732,1964-03-01,56964
733,1964-02-01,56601
734,1964-01-01,56460
735,1963-12-01,58109
736,1963-11-01,57721
737,1963-10-01,57907
738,1963-09-01,57735
739,1963-08-01,57232
740,1963-07-01,57013
741,1963-06-01,57206
742,1963-05-01,56572
743,1963-04-01,56152
744,1963-03-01,55356
745,1963-02-01,55054
746,1963-01-01,55108
747,1962-12-01,56775
748,1962-11-01,56540
749,1962-10-01,56688
750,1962-09-01,56667
751,1962-08-01,56193
752,1962-07-01,55946
753,1962-06-01,56157
754,1962-05-01,55559
755,1962-04-01,55139
756,1962-03-01,54297
757,1962-02-01,54022
758,1962-01-01,53922
759,1961-12-01,55665
760,1961-11-01,55243
761,1961-10-01,55160
762,1961-09-01,55074
763,1961-08-01,54662
764,1961-07-01,54288
765,1961-06-01,54455
766,1961-05-01,53690
767,1961-04-01,53135
768,1961-03-01,52694
769,1961-02-01,52414
770,1961-01-01,52780
771,1960-12-01,54601
772,1960-11-01,54478
773,1960-10-01,54779
774,1960-09-01,54906
775,1960-08-01,54610
776,1960-07-01,54412
777,1960-06-01,54768
778,1960-05-01,54349
779,1960-04-01,54285
780,1960-03-01,53494
781,1960-02-01,53422
782,1960-01-01,53448
783,1959-12-01,55124
784,1959-11-01,54168
785,1959-10-01,53991
786,1959-09-01,54082
787,1959-08-01,53636
788,1959-07-01,53843
789,1959-06-01,54038
790,1959-05-01,53384
791,1959-04-01,52774
792,1959-03-01,52087
793,1959-02-01,51642
794,1959-01-01,51721
795,1958-12-01,53103
796,1958-11-01,52511
797,1958-10-01,52134
798,1958-09-01,52141
799,1958-08-01,51470
800,1958-07-01,51013
801,1958-06-01,51197
802,1958-05-01,50703
803,1958-04-01,50477
804,1958-03-01,50418
805,1958-02-01,50588
806,1958-01-01,51353
807,1957-12-01,53479
808,1957-11-01,53161
809,1957-10-01,53412
810,1957-09-01,53536
811,1957-08-01,53326
812,1957-07-01,53041
813,1957-06-01,53298
814,1957-05-01,52896
815,1957-04-01,52713
816,1957-03-01,52336
817,1957-02-01,52146
818,1957-01-01,52168
819,1956-12-01,54068
820,1956-11-01,53435
821,1956-10-01,53409
822,1956-09-01,53165
823,1956-08-01,52802
824,1956-07-01,51847
825,1956-06-01,52778
826,1956-05-01,52245
827,1956-04-01,51897
828,1956-03-01,51531
829,1956-02-01,51255
830,1956-01-01,51249
831,1955-12-01,52950
832,1955-11-01,52193
833,1955-10-01,52021
834,1955-09-01,51791
835,1955-08-01,51270
836,1955-07-01,50868
837,1955-06-01,50957
838,1955-05-01,50254
839,1955-04-01,49822
840,1955-03-01,49269
841,1955-02-01,48764
842,1955-01-01,48764
843,1954-12-01,50473
844,1954-11-01,49765
845,1954-10-01,49515
846,1954-09-01,49391
847,1954-08-01,48974
848,1954-07-01,48704
849,1954-06-01,48999
850,1954-05-01,48679
851,1954-04-01,48787
852,1954-03-01,48519
853,1954-02-01,48543
854,1954-01-01,48766
855,1953-12-01,50833
856,1953-11-01,50472
857,1953-10-01,50807
858,1953-09-01,50867
859,1953-08-01,50631
860,1953-07-01,50390
861,1953-06-01,50575
862,1953-05-01,50182
863,1953-04-01,50071
864,1953-03-01,49878
865,1953-02-01,49541
866,1953-01-01,49470
867,1952-12-01,51274
868,1952-11-01,50346
869,1952-10-01,50156
870,1952-09-01,49829
871,1952-08-01,49077
872,1952-07-01,47977
873,1952-06-01,48305
874,1952-05-01,48319
875,1952-04-01,48268
876,1952-03-01,47931
877,1952-02-01,47765
878,1952-01-01,47659
879,1951-12-01,49397
880,1951-11-01,48621
881,1951-10-01,48550
882,1951-09-01,48486
883,1951-08-01,48195
884,1951-07-01,47888
885,1951-06-01,48059
886,1951-05-01,47624
887,1951-04-01,47505
888,1951-03-01,47312
889,1951-02-01,46833
890,1951-01-01,46686
891,1950-12-01,47931
892,1950-11-01,47207
893,1950-10-01,47239
894,1950-09-01,47005
895,1950-08-01,46401
896,1950-07-01,45272
897,1950-06-01,45044
898,1950-05-01,44377
899,1950-04-01,44011
900,1950-03-01,43410
901,1950-02-01,42573
902,1950-01-01,42976
