,date,value
0,2025-04-10,4.4
1,2025-04-09,4.34
2,2025-04-08,4.26
3,2025-04-07,4.15
4,2025-04-04,4.01
5,2025-04-03,4.06
6,2025-04-02,4.2
7,2025-04-01,4.17
8,2025-03-31,4.23
9,2025-03-28,4.27
10,2025-03-27,4.38
11,2025-03-26,4.35
12,2025-03-25,4.31
13,2025-03-24,4.34
14,2025-03-21,4.25
15,2025-03-20,4.24
16,2025-03-19,4.25
17,2025-03-18,4.29
18,2025-03-17,4.31
19,2025-03-14,4.31
20,2025-03-13,4.27
21,2025-03-12,4.32
22,2025-03-11,4.28
23,2025-03-10,4.22
24,2025-03-07,4.32
25,2025-03-06,4.29
26,2025-03-05,4.28
27,2025-03-04,4.22
28,2025-03-03,4.16
29,2025-02-28,4.24
30,2025-02-27,4.29
31,2025-02-26,4.25
32,2025-02-25,4.3
33,2025-02-24,4.4
34,2025-02-21,4.42
35,2025-02-20,4.5
36,2025-02-19,4.53
37,2025-02-18,4.55
38,2025-02-17,.
39,2025-02-14,4.47
40,2025-02-13,4.52
41,2025-02-12,4.62
42,2025-02-11,4.54
43,2025-02-10,4.51
44,2025-02-07,4.49
45,2025-02-06,4.45
46,2025-02-05,4.43
47,2025-02-04,4.52
48,2025-02-03,4.54
49,2025-01-31,4.58
50,2025-01-30,4.52
51,2025-01-29,4.55
52,2025-01-28,4.55
53,2025-01-27,4.53
54,2025-01-24,4.63
55,2025-01-23,4.65
56,2025-01-22,4.6
57,2025-01-21,4.57
58,2025-01-20,.
59,2025-01-17,4.61
60,2025-01-16,4.61
61,2025-01-15,4.66
62,2025-01-14,4.78
63,2025-01-13,4.79
64,2025-01-10,4.77
65,2025-01-09,4.68
66,2025-01-08,4.67
67,2025-01-07,4.67
68,2025-01-06,4.62
69,2025-01-03,4.6
70,2025-01-02,4.57
71,2025-01-01,.
72,2024-12-31,4.58
73,2024-12-30,4.55
74,2024-12-27,4.62
75,2024-12-26,4.58
76,2024-12-25,.
77,2024-12-24,4.59
78,2024-12-23,4.59
79,2024-12-20,4.52
80,2024-12-19,4.57
81,2024-12-18,4.5
82,2024-12-17,4.4
83,2024-12-16,4.39
84,2024-12-13,4.4
85,2024-12-12,4.32
86,2024-12-11,4.26
87,2024-12-10,4.22
88,2024-12-09,4.2
89,2024-12-06,4.15
90,2024-12-05,4.17
91,2024-12-04,4.19
92,2024-12-03,4.23
93,2024-12-02,4.19
94,2024-11-29,4.18
95,2024-11-28,.
96,2024-11-27,4.25
97,2024-11-26,4.3
98,2024-11-25,4.27
99,2024-11-22,4.41
100,2024-11-21,4.43
101,2024-11-20,4.41
102,2024-11-19,4.39
103,2024-11-18,4.42
104,2024-11-15,4.43
105,2024-11-14,4.43
106,2024-11-13,4.44
107,2024-11-12,4.43
108,2024-11-11,.
109,2024-11-08,4.3
110,2024-11-07,4.31
111,2024-11-06,4.42
112,2024-11-05,4.26
113,2024-11-04,4.31
114,2024-11-01,4.37
115,2024-10-31,4.28
116,2024-10-30,4.29
117,2024-10-29,4.28
118,2024-10-28,4.28
119,2024-10-25,4.25
120,2024-10-24,4.21
121,2024-10-23,4.24
122,2024-10-22,4.2
123,2024-10-21,4.19
124,2024-10-18,4.08
125,2024-10-17,4.09
126,2024-10-16,4.02
127,2024-10-15,4.03
128,2024-10-14,.
129,2024-10-11,4.08
130,2024-10-10,4.09
131,2024-10-09,4.06
132,2024-10-08,4.04
133,2024-10-07,4.03
134,2024-10-04,3.98
135,2024-10-03,3.85
136,2024-10-02,3.79
137,2024-10-01,3.74
138,2024-09-30,3.81
139,2024-09-27,3.75
140,2024-09-26,3.79
141,2024-09-25,3.79
142,2024-09-24,3.74
143,2024-09-23,3.75
144,2024-09-20,3.73
145,2024-09-19,3.73
146,2024-09-18,3.7
147,2024-09-17,3.65
148,2024-09-16,3.63
149,2024-09-13,3.66
150,2024-09-12,3.68
151,2024-09-11,3.65
152,2024-09-10,3.65
153,2024-09-09,3.7
154,2024-09-06,3.72
155,2024-09-05,3.73
156,2024-09-04,3.77
157,2024-09-03,3.84
158,2024-09-02,.
